,청과,채소,닭고기,수산,냉장냉동,조미식품,데일리,과자,"건강,차",수예,인테리어,애완원예용품,계산대,입구,자동차,세제,인스턴트,"음료,주류",축산,델리카,주방용품,청소욕실,위생용품,완구,H&B,곡물,언더웨어,스포츠,문구
청과,0.2027027027027027,0.3783783783783784,0.02027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33783783783783783,0.0,0.0,0.0
채소,0.07294832826747719,0.3920972644376899,0.15501519756838902,0.1276595744680851,0.0,0.027355623100303945,0.0,0.0,0.0,0.0,0.0,0.0,0.03647416413373859,0.0,0.0,0.0,0.0,0.0,0.03647416413373859,0.0,0.0,0.0,0.0,0.0,0.0,0.15197568389057747,0.0,0.0,0.0
닭고기,0.0,0.8020833333333334,0.09375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
수산,0.0,0.3191489361702128,0.0,0.18085106382978725,0.26595744680851063,0.11702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
냉장냉동,0.0,0.0,0.0,0.1702127659574468,0.26595744680851063,0.23404255319148934,0.14893617021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
조미식품,0.0,0.04301075268817204,0.0,0.11827956989247311,0.27956989247311825,0.17204301075268816,0.15053763440860216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23655913978494622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
데일리,0.0,0.0,0.0,0.0,0.14130434782608695,0.14130434782608695,0.3043478260869565,0.05434782608695651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934782608695652,0.06521739130434781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
과자,0.0,0.0,0.0,0.0,0.0,0.0,0.04301075268817204,0.3870967741935484,0.1935483870967742,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.11827956989247311,0.0,0.0,0.0,0.0,0.0,0.0
"건강,차",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571425,0.20535714285714285,0.0625,0.0,0.0,0.0,0.0,0.0,0.08035714285714285,0.044642857142857144,0.0,0.0,0.0,0.16964285714285712,0.0,0.0,0.0,0.0,0.0,0.2232142857142857,0.0,0.0
수예,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12371134020618557,0.1134020618556701,0.07216494845360825,0.36082474226804123,0.041237113402061855,0.0,0.0,0.030927835051546393,0.2577319587628866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인테리어,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02356020942408377,0.03926701570680629,0.17277486910994766,0.14136125654450263,0.21204188481675396,0.0,0.0,0.08638743455497383,0.06282722513089006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2617801047120419,0.0,0.0
애완원예용품,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326975476839237,0.17166212534059944,0.2125340599455041,0.0326975476839237,0.0,0.23705722070844684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04087193460490463,0.0,0.0,0.2724795640326975,0.0,0.0
계산대,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494949494949495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25252525252525254,0.25252525252525254,0.0,0.0,0.0
입구,0.29787234042553196,0.46808510638297873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23404255319148937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
자동차,0.0,0.032432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048648648648648644,0.17837837837837836,0.08918918918918918,0.0,0.3162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06486486486486487,0.27027027027027023,0.0,0.0,0.0,0.0
세제,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276595744680851,0.08510638297872339,0.28723404255319146,0.05319148936170212,0.0,0.0,0.0,0.0,0.25531914893617014,0.0,0.0,0.0,0.0,0.0,0.0,0.042553191489361694,0.0,0.0,0.0,0.0,0.0,0.0
인스턴트,0.0,0.0,0.0,0.0,0.0,0.23595505617977527,0.34831460674157305,0.0,0.05617977528089888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25842696629213485,0.0,0.0,0.0,0.10112359550561797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"음료,주류",0.0,0.0,0.0,0.0,0.030927835051546386,0.0,0.19587628865979378,0.3092783505154638,0.04123711340206185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05154639175257731,0.3195876288659793,0.0,0.0,0.0,0.0,0.05154639175257731,0.0,0.0,0.0,0.0,0.0,0.0
축산,0.0,0.0625,0.0,0.10416666666666667,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479166666666667,0.22916666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
델리카,0.0,0.0,0.0,0.0,0.4736842105263158,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368421052631579,0.3263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
주방용품,0.0,0.0898876404494382,0.0,0.0,0.0,0.06741573033707865,0.0,0.0,0.16853932584269662,0.0,0.0,0.0,0.033707865168539325,0.0,0.0,0.0,0.20224719101123595,0.0,0.0,0.0,0.24719101123595505,0.1910112359550562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청소욕실,0.0,0.17266187050359713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08633093525179857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23741007194244607,0.14388489208633096,0.0,0.0,0.1798561151079137,0.0,0.1798561151079137,0.0,0.0
위생용품,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.5161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0
완구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08659793814432992,0.04948453608247423,0.0,0.15463917525773196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29690721649484536,0.2061855670103093,0.0,0.0,0.0,0.2061855670103093
H&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244897959183673,0.0,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.12244897959183673,0.0,0.12244897959183673,0.0,0.12755102040816327,0.12755102040816327,0.12755102040816327,0.12755102040816327
곡물,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
언더웨어,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
스포츠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
문구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33110367892976594,0.33444816053511706,0.0,0.0,0.33444816053511706,0.0
